source_id	protein_or_peptide	identifier_type	condition_or_group	NET_or_release_context	reported_metric_or_status	table_source	evidence_tier	allowed_claim	prohibited_claim
Chapman_PXD011796	ACLY	UniProt:P53396	healthy_control	NET proteome (PMA/A23187-induced NETs)	peptides=1;unique=1;Anova_p=0.773245457;q=0.423032542;max_fold=1.038221923	Table_2.XLSX	Tier_2	NET/release material composition (structured supplementary table)	NETosis rate / clearance / pathogenicity / causal metabolism-to-NETosis / raw reanalysis
Chapman_PXD011796	ACTR2	UniProt:P61160	healthy_control	NET proteome (PMA/A23187-induced NETs)	peptides=8;unique=8;Anova_p=0.260404229;q=0.183993652;max_fold=1.353088573	Table_2.XLSX	Tier_2	NET/release material composition (structured supplementary table)	NETosis rate / clearance / pathogenicity / causal metabolism-to-NETosis / raw reanalysis
Chapman_PXD011796	ADSS	UniProt:P30520; Q8N142	healthy_control	NET proteome (PMA/A23187-induced NETs)	peptides=4;unique=4;Anova_p=0.839116928;q=0.447699813;max_fold=1.027676711	Table_2.XLSX	Tier_2	NET/release material composition (structured supplementary table)	NETosis rate / clearance / pathogenicity / causal metabolism-to-NETosis / raw reanalysis
Chapman_PXD011796	AHCY	UniProt:P23526	healthy_control	NET proteome (PMA/A23187-induced NETs)	peptides=1;unique=1;Anova_p=0.824741779;q=0.442771762;max_fold=1.949316659	Table_2.XLSX	Tier_2	NET/release material composition (structured supplementary table)	NETosis rate / clearance / pathogenicity / causal metabolism-to-NETosis / raw reanalysis
Chapman_PXD011796	AKR1A1	UniProt:P14550	healthy_control	NET proteome (PMA/A23187-induced NETs)	peptides=1;unique=1;Anova_p=0.007171823;q=0.013868941;max_fold=6.640679648	Table_2.XLSX	Tier_2	NET/release material composition (structured supplementary table)	NETosis rate / clearance / pathogenicity / causal metabolism-to-NETosis / raw reanalysis
Chapman_PXD011796	ALDOA	UniProt:P04075; P05062	healthy_control	NET proteome (PMA/A23187-induced NETs)	peptides=17;unique=14;Anova_p=0.003128394;q=0.009137689;max_fold=2.142912353	Table_2.XLSX	Tier_2	NET/release material composition (structured supplementary table)	NETosis rate / clearance / pathogenicity / causal metabolism-to-NETosis / raw reanalysis
Chapman_PXD011796	ALDOC	UniProt:P09972	healthy_control	NET proteome (PMA/A23187-induced NETs)	peptides=3;unique=1;Anova_p=0.014053241;q=0.021432113;max_fold=3.23942949	Table_2.XLSX	Tier_2	NET/release material composition (structured supplementary table)	NETosis rate / clearance / pathogenicity / causal metabolism-to-NETosis / raw reanalysis
Chapman_PXD011796	ANP32A	UniProt:P39687	healthy_control	NET proteome (PMA/A23187-induced NETs)	peptides=1;unique=1;Anova_p=0.00176332;q=0.006786246;max_fold=6.653180168	Table_2.XLSX	Tier_2	NET/release material composition (structured supplementary table)	NETosis rate / clearance / pathogenicity / causal metabolism-to-NETosis / raw reanalysis
Chapman_PXD011796	ANXA3	UniProt:P12429	healthy_control	NET proteome (PMA/A23187-induced NETs)	peptides=17;unique=17;Anova_p=0.626232218;q=0.367075189;max_fold=1.140332311	Table_2.XLSX	Tier_2	NET/release material composition (structured supplementary table)	NETosis rate / clearance / pathogenicity / causal metabolism-to-NETosis / raw reanalysis
Chapman_PXD011796	ARHGDIA	UniProt:P52565	healthy_control	NET proteome (PMA/A23187-induced NETs)	peptides=1;unique=1;Anova_p=0.008976227;q=0.015468948;max_fold=2.99424828	Table_2.XLSX	Tier_2	NET/release material composition (structured supplementary table)	NETosis rate / clearance / pathogenicity / causal metabolism-to-NETosis / raw reanalysis
Chapman_PXD011796	ARHGDIB	UniProt:P52566	healthy_control	NET proteome (PMA/A23187-induced NETs)	peptides=9;unique=9;Anova_p=0.010942401;q=0.017789908;max_fold=3.615284317	Table_2.XLSX	Tier_2	NET/release material composition (structured supplementary table)	NETosis rate / clearance / pathogenicity / causal metabolism-to-NETosis / raw reanalysis
Chapman_PXD011796	ARPC1B	UniProt:O15143; Q92747	healthy_control	NET proteome (PMA/A23187-induced NETs)	peptides=7;unique=7;Anova_p=0.164567386;q=0.130093091;max_fold=1.358090453	Table_2.XLSX	Tier_2	NET/release material composition (structured supplementary table)	NETosis rate / clearance / pathogenicity / causal metabolism-to-NETosis / raw reanalysis
Chapman_PXD011796	ARPC2	UniProt:O15144	healthy_control	NET proteome (PMA/A23187-induced NETs)	peptides=9;unique=9;Anova_p=0.036405972;q=0.040739797;max_fold=1.437894597	Table_2.XLSX	Tier_2	NET/release material composition (structured supplementary table)	NETosis rate / clearance / pathogenicity / causal metabolism-to-NETosis / raw reanalysis
